date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:21:12	103875/103875	---M-Z	200	added ('OK')	text/html	date:Thu,%2008%20Dec%202022%2022:21:11%20GMT	https://laravel.spruko.com/dashfox/ltr/index	/home/code237/Documents/GitHub/templates/template4/laravel.spruko.com/dashfox/ltr/index.html	(from )
23:21:14	315/315	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2008%20Dec%202022%2022:21:14%20GMT	https://laravel.spruko.com/robots.txt		(from )
23:21:14	4314/4314	---M--	200	added ('OK')	image/png	date:Wed,%2012%20Aug%202020%2020:20:36%20GMT	https://laravel.spruko.com/dashfox/ltr/assets/img/brand/favicon.png	/home/code237/Documents/GitHub/templates/template4/laravel.spruko.com/dashfox/ltr/assets/img/brand/favicon.png	(from https://laravel.spruko.com/dashfox/ltr/index)
23:21:17	199412/199412	---M--	200	added ('OK')	text/css	date:Wed,%2020%20Jan%202021%2003:47:52%20GMT	https://laravel.spruko.com/dashfox/ltr/assets/plugins/bootstrap/css/bootstrap.css	/home/code237/Documents/GitHub/templates/template4/laravel.spruko.com/dashfox/ltr/assets/plugins/bootstrap/css/bootstrap.css	(from https://laravel.spruko.com/dashfox/ltr/index)
23:21:18	507/507	---M--	200	added ('OK')	text/css	date:Sat,%2027%20Feb%202021%2019:48:32%20GMT	https://laravel.spruko.com/dashfox/ltr/assets/plugins/icons/icons.css	/home/code237/Documents/GitHub/templates/template4/laravel.spruko.com/dashfox/ltr/assets/plugins/icons/icons.css	(from https://laravel.spruko.com/dashfox/ltr/index)
23:21:18	4364/4364	---M--	200	added ('OK')	text/css	date:Thu,%2024%20Oct%202019%2017:52:18%20GMT	https://laravel.spruko.com/dashfox/ltr/assets/plugins/sidebar/sidebar.css	/home/code237/Documents/GitHub/templates/template4/laravel.spruko.com/dashfox/ltr/assets/plugins/sidebar/sidebar.css	(from https://laravel.spruko.com/dashfox/ltr/index)
23:21:19	18667/18667	---M--	200	added ('OK')	text/css	date:Thu,%2018%20Mar%202021%2012:58:26%20GMT	https://laravel.spruko.com/dashfox/ltr/assets/css/sidemenu.css	/home/code237/Documents/GitHub/templates/template4/laravel.spruko.com/dashfox/ltr/assets/css/sidemenu.css	(from https://laravel.spruko.com/dashfox/ltr/index)
23:21:22	59016/59016	---M--	200	added ('OK')	text/css	date:Sat,%2013%20Mar%202021%2020:10:24%20GMT	https://laravel.spruko.com/dashfox/ltr/assets/css/style-dark.css	/home/code237/Documents/GitHub/templates/template4/laravel.spruko.com/dashfox/ltr/assets/css/style-dark.css	(from https://laravel.spruko.com/dashfox/ltr/index)
23:21:24	941183/941183	---M--	200	added ('OK')	text/css	date:Wed,%2017%20Mar%202021%2013:01:55%20GMT	https://laravel.spruko.com/dashfox/ltr/assets/css/style.css	/home/code237/Documents/GitHub/templates/template4/laravel.spruko.com/dashfox/ltr/assets/css/style.css	(from https://laravel.spruko.com/dashfox/ltr/index)
23:21:24	4731/4731	---M--	200	added ('OK')	text/css	date:Sat,%2015%20Dec%202018%2002:42:12%20GMT	https://laravel.spruko.com/dashfox/ltr/assets/plugins/owl-carousel/owl.carousel.css	/home/code237/Documents/GitHub/templates/template4/laravel.spruko.com/dashfox/ltr/assets/plugins/owl-carousel/owl.carousel.css	(from https://laravel.spruko.com/dashfox/ltr/index)
23:21:24	42508/42508	---M--	200	added ('OK')	text/css	date:Sat,%2013%20Mar%202021%2020:10:24%20GMT	https://laravel.spruko.com/dashfox/ltr/assets/css/colors/color.css	/home/code237/Documents/GitHub/templates/template4/laravel.spruko.com/dashfox/ltr/assets/css/colors/color.css	(from https://laravel.spruko.com/dashfox/ltr/index)
23:21:25	613/613	---M--	200	added ('OK')	text/css	date:Mon,%2013%20May%202019%2023:37:04%20GMT	https://laravel.spruko.com/dashfox/ltr/assets/plugins/jqvmap/jqvmap.min.css	/home/code237/Documents/GitHub/templates/template4/laravel.spruko.com/dashfox/ltr/assets/plugins/jqvmap/jqvmap.min.css	(from https://laravel.spruko.com/dashfox/ltr/index)
23:21:26	6593/6593	---M--	200	added ('OK')	text/css	date:Thu,%2004%20Jun%202020%2017:11:46%20GMT	https://laravel.spruko.com/dashfox/ltr/assets/plugins/jqvmap/jquery-jvectormap-2.0.2.css	/home/code237/Documents/GitHub/templates/template4/laravel.spruko.com/dashfox/ltr/assets/plugins/jqvmap/jquery-jvectormap-2.0.2.css	(from https://laravel.spruko.com/dashfox/ltr/index)
23:21:27	11115/11115	---M--	200	added ('OK')	text/css	date:Sat,%2013%20Mar%202021%2020:10:24%20GMT	https://laravel.spruko.com/dashfox/ltr/assets/css/skin-modes.css	/home/code237/Documents/GitHub/templates/template4/laravel.spruko.com/dashfox/ltr/assets/css/skin-modes.css	(from https://laravel.spruko.com/dashfox/ltr/index)
23:21:29	35446/35446	---M--	200	added ('OK')	text/css	date:Sat,%2013%20Mar%202021%2020:10:24%20GMT	https://laravel.spruko.com/dashfox/ltr/assets/css/animate.css	/home/code237/Documents/GitHub/templates/template4/laravel.spruko.com/dashfox/ltr/assets/css/animate.css	(from https://laravel.spruko.com/dashfox/ltr/index)
23:21:32	13434/13434	---M--	200	added ('OK')	text/css	date:Sat,%2031%20Oct%202020%2017:23:44%20GMT	https://laravel.spruko.com/dashfox/ltr/assets/switcher/css/switcher.css	/home/code237/Documents/GitHub/templates/template4/laravel.spruko.com/dashfox/ltr/assets/switcher/css/switcher.css	(from https://laravel.spruko.com/dashfox/ltr/index)
23:21:32	12071/12071	---M--	200	added ('OK')	text/css	date:Wed,%2012%20Aug%202020%2017:42:02%20GMT	https://laravel.spruko.com/dashfox/ltr/assets/switcher/demo.css	/home/code237/Documents/GitHub/templates/template4/laravel.spruko.com/dashfox/ltr/assets/switcher/demo.css	(from https://laravel.spruko.com/dashfox/ltr/index)
23:21:35	396021/396021	---M--	200	added ('OK')	image/jpeg	date:Wed,%2005%20Aug%202020%2017:44:22%20GMT	https://laravel.spruko.com/dashfox/ltr/assets/switcher/images/themes/1.jpg	/home/code237/Documents/GitHub/templates/template4/laravel.spruko.com/dashfox/ltr/assets/switcher/images/themes/1.jpg	(from https://laravel.spruko.com/dashfox/ltr/index)
23:21:36	389033/389033	---M--	200	added ('OK')	image/jpeg	date:Wed,%2005%20Aug%202020%2017:44:48%20GMT	https://laravel.spruko.com/dashfox/ltr/assets/switcher/images/themes/2.jpg	/home/code237/Documents/GitHub/templates/template4/laravel.spruko.com/dashfox/ltr/assets/switcher/images/themes/2.jpg	(from https://laravel.spruko.com/dashfox/ltr/index)
23:21:37	103740/103740	---M-Z	200	added ('OK')	text/html	date:Thu,%2008%20Dec%202022%2022:21:36%20GMT	https://laravel.spruko.com/dashfox/ltr/vertical	/home/code237/Documents/GitHub/templates/template4/laravel.spruko.com/dashfox/ltr/vertical.html	(from https://laravel.spruko.com/dashfox/ltr/index)
23:21:38	442935/442935	---M--	200	added ('OK')	image/jpeg	date:Wed,%2005%20Aug%202020%2020:22:32%20GMT	https://laravel.spruko.com/dashfox/ltr/assets/switcher/images/themes/3.jpg	/home/code237/Documents/GitHub/templates/template4/laravel.spruko.com/dashfox/ltr/assets/switcher/images/themes/3.jpg	(from https://laravel.spruko.com/dashfox/ltr/index)
23:21:39	100262/100262	---M-Z	200	added ('OK')	text/html	date:Thu,%2008%20Dec%202022%2022:21:38%20GMT	https://laravel.spruko.com/dashfox/ltr/horizontal	/home/code237/Documents/GitHub/templates/template4/laravel.spruko.com/dashfox/ltr/horizontal.html	(from https://laravel.spruko.com/dashfox/ltr/index)
23:21:39	7226/7226	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2027%20Jul%202020%2016:17:02%20GMT	https://laravel.spruko.com/dashfox/ltr/assets/img/loader-2.svg	/home/code237/Documents/GitHub/templates/template4/laravel.spruko.com/dashfox/ltr/assets/img/loader-2.svg	(from https://laravel.spruko.com/dashfox/ltr/index)
23:21:40	4685/4685	---M--	200	added ('OK')	image/png	date:Wed,%2012%20Aug%202020%2020:06:32%20GMT	https://laravel.spruko.com/dashfox/ltr/assets/img/brand/logo.png	/home/code237/Documents/GitHub/templates/template4/laravel.spruko.com/dashfox/ltr/assets/img/brand/logo.png	(from https://laravel.spruko.com/dashfox/ltr/index)
23:21:41	4686/4686	---M--	200	added ('OK')	image/png	date:Wed,%2012%20Aug%202020%2020:06:42%20GMT	https://laravel.spruko.com/dashfox/ltr/assets/img/brand/logo2.png	/home/code237/Documents/GitHub/templates/template4/laravel.spruko.com/dashfox/ltr/assets/img/brand/logo2.png	(from https://laravel.spruko.com/dashfox/ltr/index)
23:21:42	4686/4686	---M--	200	added ('OK')	image/png	date:Wed,%2012%20Aug%202020%2020:05:36%20GMT	https://laravel.spruko.com/dashfox/ltr/assets/img/brand/logo3.png	/home/code237/Documents/GitHub/templates/template4/laravel.spruko.com/dashfox/ltr/assets/img/brand/logo3.png	(from https://laravel.spruko.com/dashfox/ltr/index)
